,DATEPRD,NPD_WELL_BORE_CODE,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DP_TUBING,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
1089,2015-05-31,7078,24.0,220.19701042553191,170.98443191489358,49.212578510638295,76.10517744680853,20.649271489361702,1671.7,247509.84,751.85
1090,2015-06-01,7078,24.0,220.13613875,171.03408020833334,49.10205854166666,74.31843145833334,20.52851875,1682.83,250715.57,813.29
1091,2015-06-02,7078,24.0,219.97960979166663,171.05303083333334,48.92657895833333,73.275800625,20.323670208333333,1683.12,251485.94,814.62
1092,2015-06-03,7078,24.0,220.006125,171.20877291666667,48.79735208333334,76.07648916666666,20.237958125,1666.9,247522.78,800.31
1093,2015-06-04,7078,24.0,220.0598470833333,171.32146729166666,48.73837979166667,76.02565916666667,20.20177125,1659.03,245330.67,772.01
1094,2015-06-05,7078,24.0,219.81649916666663,171.29041458333333,48.526084583333336,75.30151854166667,19.993684583333334,1663.57,242392.34,744.34
1095,2015-06-06,7078,24.0,219.847813125,171.38775375,48.460059375,72.96466791666667,19.914588541666667,1651.21,240468.11,740.89
1096,2015-06-07,7078,22.816670000000002,226.65147565212627,174.24601357439542,52.405462077730895,72.63272464584445,23.54825196489233,1497.33,224020.12,795.66
1097,2015-06-08,7078,24.0,220.21223208333333,171.88706270833333,48.325169375,76.26200625,19.728504375,1673.32,243394.87,760.41
1098,2015-06-09,7078,24.0,220.05952229166667,171.85864125,48.20088104166667,76.57834916666667,19.59560833333333,1655.26,240518.59,736.28
1099,2015-06-10,7078,24.0,220.26154979166665,172.01963979166663,48.24191,76.50315833333333,19.666325833333328,1633.02,237106.61,715.94
1100,2015-06-11,7078,24.0,220.15724333333333,172.0376,48.11964333333334,76.34527375,19.546781041666666,1616.16,235207.3,777.67
1101,2015-06-12,7078,24.0,220.12774958333333,172.11841833333332,48.00933125,76.33391625,19.40646583333333,1616.27,235818.42,714.98
1102,2015-06-13,7078,24.0,220.16708354166667,172.27090458333333,47.89617895833333,76.87923770833333,19.302486666666667,1597.64,230357.05,710.08
1103,2015-06-14,7078,24.0,219.996414375,172.30861708333333,47.68779729166667,76.29695291666667,19.087750625,1579.97,229962.62,751.74
1104,2015-06-15,7078,24.0,219.96750875,172.435636875,47.531871875,76.37864583333334,18.946575833333334,1583.82,229528.6,732.37
1105,2015-06-16,7078,24.0,219.9575933333333,172.584394375,47.37319895833333,76.60033729166666,18.790662291666667,1566.01,226813.46,741.97
1106,2015-06-17,7078,24.0,220.07562234042555,172.8081170212766,47.26750531914894,76.17550893617022,18.68848276595745,1550.64,226763.9,742.28
1107,2015-06-18,7078,24.0,220.21843808510638,172.9879425531915,47.23049553191489,76.42442191489361,18.32353553191489,1553.41,225992.48,729.75
1108,2015-06-19,7078,24.0,220.227348125,173.18235854166667,47.04498958333333,76.5327375,17.993054583333333,1538.14,228282.71,715.2
1109,2015-06-20,7078,24.0,220.34155729166667,173.44245354166668,46.89910375,76.97460354166667,18.326931875,1574.94,233029.77,734.13
1110,2015-06-21,7078,24.0,220.61597875,173.69751541666668,46.91846333333334,76.56783895833334,18.33970208333333,1568.89,233713.25,753.85
1111,2015-06-22,7078,24.0,221.192408125,174.136336875,47.05607125,77.02189666666666,18.448529166666667,1597.79,236337.87,761.69
1112,2015-06-23,7078,24.0,220.91886382978726,174.17020382978725,46.74866,76.85296659574469,18.118881276595744,1606.67,237672.39,785.25
1113,2015-06-24,7078,24.0,221.14501270833333,174.44014208333337,46.704870625,77.073334375,18.078006458333334,1622.92,238931.37,799.2
1114,2015-06-25,7078,24.0,220.787475625,174.46987208333337,46.317603541666664,77.51222895833334,17.668868333333332,1649.49,242900.78,832.15
1115,2015-06-26,7078,24.0,220.71750666666668,174.60947041666665,46.10803625,77.21187833333333,17.464259791666667,1650.64,241547.04,847.34
1116,2015-06-27,7078,24.0,221.36572659574472,175.0865014893617,46.27922510638298,77.53621468085106,17.454762340425535,1662.45,242839.85,854.16
1117,2015-06-28,7078,24.0,229.60071595744682,178.6318680851064,50.96884787234042,76.7927370212766,22.407083404255317,1465.02,214196.69,729.55
1118,2015-06-29,7078,24.0,227.7043321276596,178.03438829787234,49.66994382978724,77.58013914893618,20.837487021276594,1545.73,222177.3,739.78
1119,2015-06-30,7078,24.0,226.09728916666663,177.50944041666668,48.58784875,77.41719166666667,19.983516458333334,1618.91,230823.14,744.73
1120,2015-07-01,7078,24.0,221.8495275,175.89257583333332,45.95695166666667,76.82848625,17.355769166666665,1681.69,248784.6,891.53
1121,2015-07-02,7078,24.0,220.47284104166667,175.40754708333333,45.06529395833334,76.53364104166667,16.088691666666666,1561.86,230582.15,1200.31
1122,2015-07-03,7078,24.0,220.37740499999998,175.44798958333337,44.92941541666666,77.83738708333334,15.88264625,1554.86,229002.42,1199.77
1123,2015-07-04,7078,24.0,219.85847708333333,175.30796333333333,44.55051375,77.98447208333333,15.899732291666664,1533.34,225351.47,1184.82
1124,2015-07-05,7078,24.0,219.71840979166663,175.354605625,44.36380416666667,77.405868125,15.72402125,1519.99,223802.63,1146.24
1125,2015-07-06,7078,24.0,219.6878583333333,175.51984375,44.16801458333333,78.05439125,15.532633125,1506.39,221597.33,1146.44
1126,2015-07-07,7078,24.0,219.631904375,175.60396229166668,44.027942083333336,77.87386604166667,15.379171041666664,1500.72,219821.15,1177.41
1127,2015-07-08,7078,24.0,219.53043979166668,175.70989,43.82054979166666,77.67027,15.166724166666668,1481.75,218310.47,1097.92
1128,2015-07-09,7078,24.0,219.5071008333333,175.85685541666663,43.650245416666664,77.16810125,15.019342708333333,1473.25,216308.62,1059.39
1129,2015-07-10,7078,24.0,219.5734219148936,176.0517106382979,43.52171127659575,77.49440510638298,14.895861276595745,1462.23,214393.87,1076.92
1130,2015-07-11,7078,24.0,219.55470914893615,176.20848489361703,43.34622425531915,77.34600382978724,14.724136170212764,1436.82,213094.79,1061.89
1131,2015-07-12,7078,24.0,219.6887189583333,176.49891832003547,43.18980063829788,77.51079425531915,14.560034255319149,1426.88,209867.58,1042.14
1132,2015-07-13,7078,24.0,219.99661680851062,176.86263021276596,43.13398659574467,78.12372659574469,14.310494680851063,1417.43,209010.44,1151.16
1133,2015-07-14,7078,24.0,220.02917375,177.21950354166665,42.80967020833333,78.24212583333333,14.225195208333336,1412.23,208264.61,1152.94
1134,2015-07-15,7078,24.0,220.04751208333332,177.38462416666667,42.66288791666667,78.12173854166667,14.0636,1394.07,205956.0,1130.91
1135,2015-07-16,7078,24.0,220.1237258333333,177.53200354166665,42.591722291666656,78.25481333333333,13.993898541666667,1375.3,203175.83,1124.97
1136,2015-07-17,7078,24.0,219.957113125,177.51661604166668,42.440497083333334,76.682014375,13.852323541666667,1368.17,202223.08,1126.93
1137,2015-07-18,7078,24.0,220.03366666666668,177.67810229166668,42.355564375,74.54933645833333,13.754926875,1364.31,203950.48,1201.19
1138,2015-07-19,7078,24.0,220.17204354166665,177.87617375,42.29586979166667,77.10961625,13.695226458333336,1344.57,201782.32,1214.71
1139,2015-07-20,7078,24.0,220.1930447916667,177.99355875,42.19948604166667,77.341356875,13.606494375,1335.28,199766.76,1206.5
1140,2015-07-21,7078,24.0,220.38301145833333,178.15071291666663,42.232298541666665,75.35620166666666,13.628798333333336,1344.53,201785.1,1211.57
1141,2015-07-22,7078,24.0,220.57380604166667,178.40004479166663,42.17376125,78.06974604166666,13.573645625,1355.39,206116.94,1211.59
1142,2015-07-23,7078,24.0,220.629215625,178.47361708333332,42.15559854166667,76.72147583333333,13.563918333333335,1356.95,205050.09,1210.61
1143,2015-07-24,7078,24.0,220.81667145833333,178.66857333333337,42.148098125,77.64616854166667,13.565880625,1342.47,202187.98,1215.91
1144,2015-07-25,7078,24.0,220.24337000000003,178.49272041666663,41.750649583333335,78.11097083333334,13.156056458333332,1345.15,202672.07,1225.35
1145,2015-07-26,7078,24.0,220.17982291666667,178.50586541666667,41.6739575,77.92856854166666,13.071442916666667,1332.97,200210.53,1225.71
1146,2015-07-27,7078,24.0,220.22378916666668,178.601925625,41.62186354166667,78.184308125,13.021578125,1321.31,198496.44,1225.75
1147,2015-07-28,7078,24.0,220.20734,178.63670708333333,41.57063291666667,78.21585208333333,12.970394166666667,1299.1,196363.92,1213.08
1148,2015-07-29,7078,24.0,219.94553770833332,178.55318395833336,41.39235375,77.87519958333333,12.808515416666667,1335.51,201360.52,1391.11
1149,2015-07-30,7078,24.0,220.062220625,178.66195729166665,41.400263333333335,77.49859000000001,12.816995833333333,1310.45,196486.36,1233.13
1150,2015-07-31,7078,24.0,219.97786104166667,178.687566875,41.29029416666667,77.74921666666667,12.706251666666667,1289.69,193076.74,1238.03
1151,2015-08-01,7078,24.0,219.96056708333333,178.71326083333332,41.24730625,76.61280604166667,12.666113333333335,1283.49,191777.37,1235.7
1152,2015-08-02,7078,24.0,220.09984729166663,178.87653145833335,41.22331583333333,77.36623520833334,12.645017916666667,1277.28,190069.8,1232.28
1153,2015-08-03,7078,24.0,220.1202708333333,178.96628541666664,41.15398541666666,75.66083333333333,12.594690416666667,1267.78,190370.97,1234.55
1154,2015-08-04,7078,24.0,220.20812020833333,179.081263125,41.12685708333333,76.734401875,12.578932083333333,1272.72,191632.56,1235.16
1155,2015-08-05,7078,24.0,220.304258125,179.190838125,41.11342,77.10992333333333,12.525910416666667,1276.71,187873.58,1231.13
1156,2015-08-06,7078,24.0,220.44636916666667,179.30401020833332,41.14235895833333,76.80485458333334,12.574395833333336,1256.08,186803.55,1236.31
1157,2015-08-07,7078,24.0,220.56257354166667,179.47114291666668,41.091430625,78.40784395833333,12.5137675,1236.69,188841.79,1230.4
1158,2015-08-08,7078,24.0,220.56411541666668,179.4973075,41.06680791666667,77.39998583333333,12.490357916666667,1216.54,188670.41,1233.94
1159,2015-08-09,7078,24.0,220.58979791666667,179.59883145833336,40.99096645833333,76.55887583333333,12.430731666666668,1229.59,188412.77,1235.15
1160,2015-08-10,7078,24.0,220.63940958333333,179.68856104166667,40.950848541666666,77.44155104166667,12.377190833333335,1221.71,187300.89,1234.5
1161,2015-08-11,7078,24.0,220.62890125,179.72828583333333,40.90061541666667,76.94611979166666,12.310473125,1201.51,186315.23,1171.73
1162,2015-08-12,7078,24.0,220.675326875,179.84540354166663,40.82992333333333,77.86578395833334,12.25566375,1210.98,185325.19,1217.5
1163,2015-08-13,7078,24.0,220.64175666666668,179.88912916666663,40.7526275,77.74755916666666,12.183647916666667,1205.33,185749.03,1217.71
